Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
715,,0.007007,2.000000,9.610668,92.329500,9.610668,-1.518507,3.290989,7.143238,3.379914,94.186515,3.797093,16.863197,-39.442210
716,,0.008522,2.000000,9.610668,92.329500,9.610668,-1.521102,3.291640,7.144661,4.105839,90.370481,4.551571,16.098817,-38.107644
717,,0.010038,2.000000,9.610668,92.329500,9.610668,-1.523697,3.292291,7.146083,4.828900,85.882133,5.267974,15.199767,-36.537952
718,,0.011553,2.000000,9.610668,92.329500,9.610668,-1.526293,3.292942,7.147505,5.548594,80.759015,5.940309,14.173567,-34.746265
719,,0.013068,2.000000,9.610668,92.329500,9.610668,-1.528890,3.293592,7.148925,6.264417,75.043985,6.562952,13.028803,-32.747570
720,,0.014583,2.000000,9.610668,92.329500,9.610668,-1.531487,3.294243,7.150345,6.975872,68.784849,7.130695,11.775051,-30.558588
721,,0.016098,2.000000,9.610668,92.329500,9.610668,-1.534084,3.294894,7.151763,7.682461,62.033966,7.638789,10.422798,-28.197629
770,,0.090341,2.000000,9.610668,92.329500,9.610668,-1.661968,3.326904,7.220089,27.741240,72.452936,-6.810728,12.509797,-31.841413
771,,0.091856,2.000000,9.610668,92.329500,9.610668,-1.664590,3.327560,7.221457,27.728722,78.404838,-6.210758,13.702008,-33.922948
772,,0.093371,2.000000,9.610668,92.329500,9.610668,-1.667214,3.328215,7.222825,27.696865,83.784521,-5.558834,14.779599,-35.804363
773,,0.094886,2.000000,9.610668,92.329500,9.610668,-1.669838,3.328871,7.224191,27.645691,88.546981,-4.860409,15.733556,-37.469919
774,,0.096401,2.000000,9.610668,92.329500,9.610668,-1.672462,3.329527,7.225557,27.575236,92.652381,-4.121326,16.555899,-38.905684
775,,0.097916,2.000000,9.610668,92.329500,9.610668,-1.675087,3.330183,7.226922,27.485549,96.066378,-3.347767,17.239748,-40.099647
776,,0.099431,2.000000,9.610668,92.329500,9.610668,-1.677712,3.330840,7.228286,27.376693,98.760413,-2.546203,17.779384,-41.041821
777,,0.100947,2.000000,9.610668,92.329500,9.610668,-1.680338,3.331496,7.229648,27.248743,100.711949,-1.723340,18.170291,-41.724324
778,,0.102462,2.000000,9.610668,92.329500,9.610668,-1.682964,3.332153,7.231010,27.101789,101.904663,-0.886061,18.409201,-42.141447
779,,0.103977,2.000000,9.610668,92.329500,9.610668,-1.685591,3.332810,7.232371,26.935934,102.328576,-0.041370,18.494114,-42.289700
780,YES,0.001441,2.000000,9.885484,97.660312,9.885484,-1.688218,3.333466,7.233731,0.814256,121.773179,0.993680,19.894275,-44.814981
781,,0.002956,2.000000,9.885484,97.660312,9.885484,-1.690846,3.334123,7.235089,1.507048,106.018607,1.734029,18.674668,-42.631510
782,,0.004471,2.000000,9.885484,97.660312,9.885484,-1.693475,3.334779,7.236447,2.278086,103.918078,2.603792,18.266136,-41.917654
783,,0.005987,2.000000,9.885484,97.660312,9.885484,-1.696104,3.335437,7.237803,3.047448,100.986366,3.450511,17.695947,-40.921325
784,,0.007502,2.000000,9.885484,97.660312,9.885484,-1.698733,3.336094,7.239158,3.814569,97.249418,4.266693,16.969148,-39.651339
785,,0.009017,2.000000,9.885484,97.660312,9.885484,-1.701363,3.336752,7.240513,4.578883,92.740306,5.045114,16.092170,-38.118937
786,,0.010532,2.000000,9.885484,97.660312,9.885484,-1.703993,3.337410,7.241866,5.339829,87.498936,5.778886,15.072776,-36.337679
787,,0.012047,2.000000,9.885484,97.660312,9.885484,-1.706623,3.338068,7.243219,6.096847,81.571694,6.461514,13.919986,-34.323332
788,,0.013562,2.000000,9.885484,97.660312,9.885484,-1.709255,3.338726,7.244571,6.849380,75.011036,7.086957,12.644003,-32.093721
789,,0.015077,2.000000,9.885484,97.660312,9.885484,-1.711886,3.339384,7.245921,7.596874,67.875026,7.649680,11.256119,-29.668578
